,experiment,timestep,mean episodic length,mean episodic returns,mean episodic runtime,std episodic returns
0,experiment,387200,200.0,-1275.5041381340345,0.03617865389043635,344.0563240035436
0,experiment,389400,200.0,-1100.5092345090618,0.036867922002618965,274.311263169972
0,experiment,391600,200.0,-1152.1714301161446,0.03621474179354581,328.8841713475936
0,experiment,393800,200.0,-1113.6490360132568,0.03614167733625932,154.24924921712403
0,experiment,396000,200.0,-1095.018243095117,0.03804961117831143,182.0321043294588
0,experiment,398200,200.0,-999.3406567889651,0.038450436158613724,171.7594349189276
0,experiment,400400,200.0,-974.8590699481175,0.036331588571721855,209.44050318585704
0,experiment,402600,200.0,-946.5187285567155,0.03587265448136763,97.20258811589407
0,experiment,404800,200.0,-1048.5766988396467,0.03640874949368564,163.9223487766554
0,experiment,407000,200.0,-1055.938643371649,0.03616634282198819,261.9803409309749
0,experiment,409200,200.0,-1153.5068908154608,0.03856884349476208,249.67519198079026
0,experiment,411400,200.0,-1014.3118199849338,0.03848667578263716,135.23697585870585
0,experiment,413600,200.0,-1026.1090601073147,0.03639370744878596,168.85007897693475
0,experiment,415800,200.0,-1050.5367363690953,0.03612245212901722,131.96659910334702
0,experiment,418000,200.0,-1055.5804273323668,0.036080490459095345,211.53192452895604
0,experiment,420200,200.0,-934.8665629162504,0.03644275665283203,134.29239008632018
0,experiment,422400,200.0,-916.949919052874,0.03871345520019531,121.22566106671738
0,experiment,424600,200.0,-1111.9249428493706,0.038754398172551933,268.7783697002156
0,experiment,426800,200.0,-1008.8591439941437,0.03626634857871316,154.3086382157631
0,experiment,429000,200.0,-982.7197752108539,0.035996567119251595,187.36382622493593
0,experiment,431200,200.0,-1128.607849656533,0.03622690114107999,184.21526191548637
0,experiment,433400,200.0,-1097.947222639608,0.03615788979963823,151.30798963235796
0,experiment,435600,200.0,-1030.97018232003,0.04298589446327903,114.46614290617511
0,experiment,437800,200.0,-1008.2239967815945,0.038443652066317474,175.82110406689773
0,experiment,440000,200.0,-1062.1731437930885,0.03601902181451971,100.32915580008495
0,experiment,442200,200.0,-1168.113945949654,0.03621662746776234,244.04152904606272
0,experiment,444400,200.0,-946.6990525415665,0.036267670718106354,71.53093489159392
0,experiment,446600,200.0,-991.5417877293013,0.03595493056557395,112.98189686955001
0,experiment,448800,200.0,-1143.846440660894,0.038085070523348724,158.02305180765063
0,experiment,451000,200.0,-982.2730279697508,0.03861869465221058,154.4760638623407
0,experiment,453200,200.0,-1074.1889350335102,0.03638612140308727,208.1522565929496
0,experiment,455400,200.0,-1062.971713266294,0.035983150655573067,170.7768282246876
0,experiment,457600,200.0,-1084.3907503540283,0.03607951511036266,182.61572748471306
0,experiment,459800,200.0,-1020.1636442791182,0.03608064218000932,95.96544889871682
0,experiment,462000,200.0,-972.0398721949946,0.037826039574363014,116.18352164108335
0,experiment,464200,200.0,-1020.171760753317,0.038907853039828216,186.25634427376204
0,experiment,466400,200.0,-1031.4414231073733,0.03630948066711426,171.05809615851012
0,experiment,468600,200.0,-953.5897457121453,0.03648421981117942,59.70745746671178
0,experiment,470800,200.0,-1033.5632096740587,0.03639871423894709,160.89462955509276
0,experiment,473000,200.0,-1038.4420115845178,0.03616369854320179,147.54795971522537
0,experiment,475200,200.0,-1030.3565640415438,0.03841883485967463,124.66259947155153
0,experiment,477400,200.0,-1100.224823903905,0.039254947142167526,116.88144097038489
0,experiment,479600,200.0,-1033.516740902286,0.03638599135658958,204.68015390940477
0,experiment,481800,200.0,-1030.0157874410315,0.03623134439641779,153.4904216520603
0,experiment,484000,200.0,-990.3129665104069,0.0364229679107666,63.76244378287848
0,experiment,486200,200.0,-1031.795949774996,0.036704085089943626,131.4916939004638
0,experiment,488400,200.0,-1068.8898874543283,0.038459062576293945,162.6231477940425
0,experiment,490600,200.0,-1033.1555920576232,0.039075721393932,149.19900147515472
0,experiment,492800,200.0,-1070.4961796340394,0.037115378813310104,267.75364027749544
0,experiment,495000,200.0,-1019.5143781982791,0.03665018081665039,175.7448639068866
0,experiment,497200,200.0,-986.6517049869217,0.03782584450461648,170.7627092530657
0,experiment,499400,200.0,-1102.0196952374179,0.03730086846785112,213.33709038671591
