,mean episodic length,mean episodic rewards,timestep
0,200.0,-1045.182569974855,496600
0,200.0,-1194.7671455658021,499200
0,200.0,-1025.8032822294533,501800
0,200.0,-1112.9309615204525,504400
0,200.0,-1170.7984776253963,507000
0,200.0,-1277.9901390931113,2600
0,200.0,-1339.7477271904424,5200
0,200.0,-1307.1503771166176,7800
0,200.0,-1231.1662621397447,10400
0,200.0,-1025.473063312333,13000
0,200.0,-1376.9652780379354,15600
0,200.0,-1214.7775900694362,18200
0,200.0,-1159.0767046997908,20800
0,200.0,-1243.786495186096,23400
0,200.0,-1151.3442585717528,26000
0,200.0,-1351.395995960098,28600
0,200.0,-1082.686450937478,31200
0,200.0,-1222.2163280359343,33800
0,200.0,-1056.650802412349,36400
0,200.0,-1189.96108047754,39000
0,200.0,-1222.405872543506,41600
0,200.0,-1199.6280132867753,44200
0,200.0,-1248.7679069762892,46800
0,200.0,-1197.7827480527117,49400
0,200.0,-1176.4034940201868,52000
0,200.0,-1075.7739875804639,54600
0,200.0,-1139.4145997496155,57200
0,200.0,-1174.4247944598744,59800
0,200.0,-1117.8947764082352,62400
0,200.0,-1216.7177891239621,65000
0,200.0,-1251.135473679031,67600
0,200.0,-1143.975139147513,70200
0,200.0,-1138.67649872585,72800
0,200.0,-1283.1503932637786,75400
0,200.0,-1225.653504911195,78000
0,200.0,-1302.4554806537149,80600
0,200.0,-1278.1921043004625,83200
0,200.0,-1219.0730954768592,85800
0,200.0,-1299.012211209375,88400
0,200.0,-1443.1058372252048,91000
0,200.0,-1277.561445966438,93600
0,200.0,-1327.0868942925995,96200
0,200.0,-1184.9406660846807,98800
0,200.0,-1281.543960538858,101400
0,200.0,-1150.9911842560998,104000
0,200.0,-1228.425574727092,106600
0,200.0,-1217.3251205234458,109200
0,200.0,-1220.7193619335587,111800
0,200.0,-1147.182732308196,114400
0,200.0,-1186.7569098600607,117000
0,200.0,-1228.3143820400205,119600
0,200.0,-1172.4376678586013,122200
0,200.0,-1201.3178879957245,124800
0,200.0,-1128.8550668783862,127400
0,200.0,-1337.7507180525672,130000
0,200.0,-1380.251071955652,132600
0,200.0,-1126.1561170073842,135200
0,200.0,-1215.8908169979445,137800
0,200.0,-1069.6082347037152,140400
0,200.0,-1151.3521975789051,143000
0,200.0,-1165.2186365615005,145600
0,200.0,-1222.3492566032853,148200
0,200.0,-1299.6982622751987,150800
0,200.0,-1218.9064263806008,153400
0,200.0,-1247.0879602246143,156000
0,200.0,-1120.8833058765258,158600
0,200.0,-1069.6252672930011,161200
0,200.0,-1158.3964601278171,163800
0,200.0,-1137.1993602134257,166400
0,200.0,-1108.499966644217,169000
0,200.0,-1121.9445574638303,171600
0,200.0,-1092.969977253169,174200
0,200.0,-1197.26279396505,176800
0,200.0,-1187.0264197509537,179400
0,200.0,-1170.8465699011156,182000
0,200.0,-1342.7032196606056,184600
0,200.0,-1159.2497543999134,187200
0,200.0,-1161.1630445939836,189800
0,200.0,-1135.9389142719199,192400
0,200.0,-1277.3315712011763,195000
0,200.0,-1202.4407565051806,197600
0,200.0,-1166.1959027350863,200200
0,200.0,-1160.0609022932715,202800
0,200.0,-1173.7466985105978,205400
0,200.0,-1276.6878454429968,208000
0,200.0,-1320.5438008228007,210600
0,200.0,-1162.2074102442348,213200
0,200.0,-1122.8674627707067,215800
0,200.0,-1225.0788441426614,218400
0,200.0,-1066.5577654199994,221000
0,200.0,-1097.7708613677084,223600
0,200.0,-1144.331393727138,226200
0,200.0,-1278.2742394492782,228800
0,200.0,-1190.8979481482756,231400
0,200.0,-1212.2387248508705,234000
0,200.0,-1162.8211160583824,236600
0,200.0,-1222.2348737683194,239200
0,200.0,-1183.687424092745,241800
0,200.0,-1179.3486273764997,244400
0,200.0,-1205.3077584748812,247000
0,200.0,-1197.7680505212566,249600
0,200.0,-1323.929200550705,252200
0,200.0,-1133.502504544142,254800
0,200.0,-1245.7375159793412,257400
0,200.0,-1277.3013155286794,260000
0,200.0,-1232.0662821747717,262600
0,200.0,-1223.745786098409,265200
0,200.0,-1236.2618261220023,267800
0,200.0,-1220.3846507792582,270400
0,200.0,-1076.0748353508332,273000
0,200.0,-1217.8282028266844,275600
0,200.0,-1204.9724577401246,278200
0,200.0,-1241.4541572242922,280800
0,200.0,-1263.407127305637,283400
0,200.0,-1166.8808981441618,286000
0,200.0,-1145.440827429043,288600
0,200.0,-1280.0499819548377,291200
0,200.0,-1384.09331592493,293800
0,200.0,-1245.9725869130828,296400
0,200.0,-1200.2396964454624,299000
0,200.0,-1166.1429505839847,301600
0,200.0,-1239.4077807412107,304200
0,200.0,-1322.7093187724797,306800
0,200.0,-1322.3297246612592,309400
0,200.0,-1345.2642245027173,312000
0,200.0,-1111.9442137378126,314600
0,200.0,-1197.5610901573386,317200
0,200.0,-1222.9556774203481,319800
0,200.0,-1152.665171079968,322400
0,200.0,-1325.4317101483318,325000
0,200.0,-1355.264087217813,327600
0,200.0,-1251.1432644766928,330200
0,200.0,-1180.9821446123433,332800
0,200.0,-1227.0194367161473,335400
0,200.0,-1228.1195960272644,338000
0,200.0,-1281.3229687081907,340600
0,200.0,-1097.986787145704,343200
0,200.0,-1158.0782726562745,345800
0,200.0,-1187.147342685991,348400
0,200.0,-1146.0850980753733,351000
0,200.0,-1221.2722132744755,353600
0,200.0,-1199.0819120364572,356200
0,200.0,-1182.893559582384,358800
0,200.0,-1184.347410560054,361400
0,200.0,-1282.4193080293749,364000
0,200.0,-1218.9124929071922,366600
0,200.0,-1198.4793971834126,369200
0,200.0,-1164.8615297645279,371800
0,200.0,-1133.6656879848933,374400
0,200.0,-1068.9080166712681,377000
0,200.0,-1167.1029124138418,379600
0,200.0,-1167.7527835546246,382200
0,200.0,-1280.2652480650916,384800
0,200.0,-1311.4346816743323,387400
0,200.0,-1190.3243304449356,390000
0,200.0,-1289.539706660182,392600
0,200.0,-1135.8932482389646,395200
0,200.0,-1144.4579913121074,397800
0,200.0,-1140.1526692847913,400400
0,200.0,-994.5186477570859,403000
0,200.0,-1103.9885695032522,405600
0,200.0,-1276.9717909035683,408200
0,200.0,-1148.5854937639915,410800
