,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,291200,200.0,-1337.3040606549812,120.17660337256429
0,experiment,293800,200.0,-1440.0125393236897,171.9158138741968
0,experiment,296400,200.0,-1371.5136737136615,176.45246716689374
0,experiment,299000,200.0,-1299.6402312091325,211.23260378186552
0,experiment,301600,200.0,-1343.7416412922041,117.06181004027194
0,experiment,304200,200.0,-1334.0063537236526,137.10634608585755
0,experiment,306800,200.0,-1341.8480687943788,187.70041509560792
0,experiment,309400,200.0,-1349.8121527012618,188.37497587231195
0,experiment,312000,200.0,-1348.7096668932952,165.05001291232193
0,experiment,314600,200.0,-1200.455606735097,101.78529512228779
0,experiment,317200,200.0,-1223.7854338494783,175.86276931635265
0,experiment,319800,200.0,-1355.1461336396458,190.6926825050779
0,experiment,322400,200.0,-1243.3209508339137,142.86335593029352
0,experiment,325000,200.0,-1345.2426264689161,226.56058385559518
0,experiment,327600,200.0,-1358.7424147452623,194.5768476204043
0,experiment,330200,200.0,-1351.814277617182,145.65259106549192
0,experiment,332800,200.0,-1395.5928809858365,148.53484227399593
0,experiment,335400,200.0,-1281.6711532778502,156.60235928118772
0,experiment,338000,200.0,-1434.3890482895754,126.97675113698389
0,experiment,340600,200.0,-1333.7353042376515,131.8218690433364
0,experiment,343200,200.0,-1265.6898926453791,59.13400683085719
0,experiment,345800,200.0,-1218.5589736110605,189.59272488830612
0,experiment,348400,200.0,-1271.3250575729373,204.25832771641518
0,experiment,351000,200.0,-1267.5970679393185,222.28594710558565
0,experiment,353600,200.0,-1239.917789675554,126.63353077436007
0,experiment,356200,200.0,-1268.7684354470516,226.78547486881456
0,experiment,358800,200.0,-1298.4645898334672,174.66406295679658
0,experiment,361400,200.0,-1266.1790153628017,146.01644853862695
0,experiment,364000,200.0,-1289.499111000516,199.10496007541838
0,experiment,366600,200.0,-1287.9863725901293,245.1238861077816
0,experiment,369200,200.0,-1209.1099950109342,163.14400255557166
0,experiment,371800,200.0,-1147.5551269754587,152.6228249430725
0,experiment,374400,200.0,-1169.960735012071,184.43277940091838
0,experiment,377000,200.0,-1109.530807279852,101.63664968143213
0,experiment,379600,200.0,-1143.0780456847183,189.82787430979386
0,experiment,382200,200.0,-1167.7761090052488,132.1124962995439
0,experiment,384800,200.0,-1202.9728410709083,169.27443179980366
0,experiment,387400,200.0,-1347.1166772850104,314.31873349340304
0,experiment,390000,200.0,-1316.4053858771026,243.42667330850256
0,experiment,392600,200.0,-1325.673861222262,272.7555389785993
0,experiment,395200,200.0,-1171.969876575063,139.10783137933313
0,experiment,397800,200.0,-1202.2850457039547,135.3186223238413
0,experiment,400400,200.0,-1230.932496909804,124.64625222751062
0,experiment,403000,200.0,-1132.35785422929,66.39169570611197
0,experiment,405600,200.0,-1224.0927684383796,247.65190545313942
0,experiment,408200,200.0,-1312.6009533018407,253.01868755106585
0,experiment,410800,200.0,-1207.5759012344085,149.42804332603154
0,experiment,413400,200.0,-1177.741464161828,59.25350696648603
0,experiment,416000,200.0,-1239.7344905882642,86.65510337390863
0,experiment,418600,200.0,-1226.0669218687085,161.18381865801524
0,experiment,421200,200.0,-1223.3127830600713,45.97731356483618
0,experiment,423800,200.0,-1254.2937491982666,169.69546804442308
0,experiment,426400,200.0,-1271.9923612682119,155.75945262794139
0,experiment,429000,200.0,-1293.054256486892,50.784609382309704
0,experiment,431600,200.0,-1238.8942700932382,139.48020773620524
0,experiment,434200,200.0,-1280.7401650430502,84.76953177228317
0,experiment,436800,200.0,-1268.2642722589337,107.81292000094882
0,experiment,439400,200.0,-1232.6598774055246,49.41310361591969
0,experiment,442000,200.0,-1299.952515424306,150.9341924152486
0,experiment,444600,200.0,-1231.739205094062,39.62946792194335
0,experiment,447200,200.0,-1213.9355599134071,56.33846875564617
0,experiment,449800,200.0,-1284.0682143287754,126.20550044057823
0,experiment,452400,200.0,-1312.8646750543596,144.45243476189455
0,experiment,455000,200.0,-1301.529205426516,162.49534418897784
0,experiment,457600,200.0,-1306.9964586537046,142.84513834289908
0,experiment,460200,200.0,-1227.6706203150159,126.80394019630471
0,experiment,462800,200.0,-1190.5131918008865,137.31526491146565
0,experiment,465400,200.0,-1366.3051185914032,144.30776559432894
0,experiment,468000,200.0,-1275.0744925018773,159.96558536471738
0,experiment,470600,200.0,-1278.9498552283521,167.16407731703407
0,experiment,473200,200.0,-1207.919202334837,145.40717553201563
0,experiment,475800,200.0,-1266.9472514290248,120.34149030150957
0,experiment,478400,200.0,-1271.204958798395,212.6622059125923
0,experiment,481000,200.0,-1329.4913063560111,105.31364015131092
0,experiment,483600,200.0,-1275.2630114134665,169.08710978129747
0,experiment,486200,200.0,-1267.862379128499,177.66545885940988
0,experiment,488800,200.0,-1268.4633264460374,146.4087806798348
0,experiment,491400,200.0,-1325.8985287338112,60.28662558872518
0,experiment,494000,200.0,-1377.0310977416452,153.54012409307992
0,experiment,496600,200.0,-1280.0737843364686,124.08948095497152
0,experiment,499200,200.0,-1312.9190792615514,255.580865862836
0,experiment,501800,200.0,-1224.151257406703,113.83071611907329
0,experiment,504400,200.0,-1247.4095817668583,123.30323279100124
0,experiment,507000,200.0,-1326.9640334876656,151.53573806502263
0,experiment,509600,200.0,-1265.074394498217,172.72966566243127
0,experiment,512200,200.0,-1351.1823348289524,156.33401303293027
0,experiment,514800,200.0,-1364.062745011005,126.51850684224733
0,experiment,517400,200.0,-1341.186166349846,156.00397683567786
0,experiment,520000,200.0,-1367.5315127539848,167.98715327023515
0,experiment,522600,200.0,-1302.583114119895,74.30007283073736
0,experiment,525200,200.0,-1321.199546087253,144.34252529235602
0,experiment,527800,200.0,-1408.1248007925756,65.79674504550368
0,experiment,530400,200.0,-1387.3580960447339,55.3876720699918
0,experiment,533000,200.0,-1382.6687803255481,142.52149110970223
0,experiment,535600,200.0,-1374.7558656302726,216.9685425612188
0,experiment,538200,200.0,-1465.5470570527384,166.11058592766184
0,experiment,540800,200.0,-1342.0769951934235,109.10881628515965
0,experiment,543400,200.0,-1324.1771225981527,154.8253987954824
0,experiment,546000,200.0,-1363.465485009301,163.42856613163673
0,experiment,548600,200.0,-1322.2417560796982,177.38787594990308
0,experiment,551200,200.0,-1369.1395169426164,183.95767576508115
0,experiment,553800,200.0,-1417.4686385412863,87.3026267463755
0,experiment,556400,200.0,-1364.512159599561,145.05187109568743
0,experiment,559000,200.0,-1305.614218585066,206.97923444896364
0,experiment,561600,200.0,-1337.1776647335394,189.62278346087336
0,experiment,564200,200.0,-1385.8094298004087,192.33848641528672
0,experiment,566800,200.0,-1476.8157176657674,124.07091877325539
0,experiment,569400,200.0,-1442.7372877126047,110.23756858717933
0,experiment,572000,200.0,-1495.0007457593274,108.34710087181506
0,experiment,574600,200.0,-1438.3749977856642,178.0725656275878
0,experiment,577200,200.0,-1401.8690284865684,165.07743467924746
0,experiment,579800,200.0,-1438.5617620544983,205.99681849527985
0,experiment,582400,200.0,-1396.588331064648,235.23439987636235
0,experiment,585000,200.0,-1459.7362329512775,134.23373526463106
0,experiment,587600,200.0,-1340.6339875375052,232.02667147084367
0,experiment,590200,200.0,-1405.3439466606824,198.9827946227423
0,experiment,592800,200.0,-1456.3498210268751,177.89299050379907
0,experiment,595400,200.0,-1430.4941103697513,210.68199966506955
0,experiment,598000,200.0,-1449.3936124206089,132.27405631329262
0,experiment,600600,200.0,-1464.90566374857,148.73711907590686
0,experiment,603200,200.0,-1358.169615127576,215.78946138848224
0,experiment,605800,200.0,-1478.4601751702792,174.99629196216668
0,experiment,608400,200.0,-1455.0754826004772,151.56301652236579
0,experiment,611000,200.0,-1444.3331934824919,177.73842229799743
0,experiment,613600,200.0,-1493.7705018832598,164.20494103581117
0,experiment,616200,200.0,-1459.652801893559,131.27964541494444
0,experiment,618800,200.0,-1391.7300032352712,161.59879048849803
0,experiment,621400,200.0,-1470.8279020292396,155.53489193505112
0,experiment,624000,200.0,-1378.894799983775,145.11282020146035
0,experiment,626600,200.0,-1446.513930598186,180.06538430713118
0,experiment,629200,200.0,-1372.6234865202093,184.10861894013195
0,experiment,631800,200.0,-1411.0270061139367,167.82285509549968
0,experiment,634400,200.0,-1366.2026051530597,189.44776506252492
0,experiment,637000,200.0,-1466.992966186585,123.82359834921107
0,experiment,639600,200.0,-1418.6337169670312,171.34199773352807
0,experiment,642200,200.0,-1470.9747910915517,125.11115197913517
0,experiment,644800,200.0,-1367.1368294253027,186.18123983397408
0,experiment,647400,200.0,-1381.313969895777,192.57593802026375
0,experiment,650000,200.0,-1377.6212951603604,170.2604130325152
0,experiment,652600,200.0,-1456.8274798435975,130.37758491029987
0,experiment,655200,200.0,-1418.6822300589808,159.70605974609484
0,experiment,657800,200.0,-1482.5278258134797,130.36611721802532
0,experiment,660400,200.0,-1338.0047803275233,157.03538780019423
0,experiment,663000,200.0,-1419.0889065056099,114.64926405190785
0,experiment,665600,200.0,-1415.3056841928558,83.17084466096392
0,experiment,668200,200.0,-1415.507065557107,89.30850288669146
0,experiment,670800,200.0,-1445.702606353146,81.1713536845602
0,experiment,673400,200.0,-1457.8097590792481,105.52898564305288
0,experiment,676000,200.0,-1460.3325832678263,75.02342462081867
0,experiment,678600,200.0,-1467.2546032900173,87.37944368374248
0,experiment,681200,200.0,-1464.0800969048223,82.60246177022954
0,experiment,683800,200.0,-1446.2753091819059,110.67390975354925
0,experiment,686400,200.0,-1473.2044060038245,67.82607996210696
0,experiment,689000,200.0,-1443.4481919186878,104.36002709141104
0,experiment,691600,200.0,-1442.3647656806402,70.93785437227955
0,experiment,694200,200.0,-1458.5373630850465,75.12351921921608
0,experiment,696800,200.0,-1448.55422572396,75.38477220727894
0,experiment,699400,200.0,-1460.972651449152,66.16917564156141
0,experiment,702000,200.0,-1466.9323856037472,82.82039955791524
0,experiment,704600,200.0,-1441.788642185387,79.3193254679847
0,experiment,707200,200.0,-1428.8312067437475,79.41581156928015
0,experiment,709800,200.0,-1411.5582404137458,122.19384204836105
0,experiment,712400,200.0,-1488.1965815738165,69.92237882870114
0,experiment,715000,200.0,-1463.2369229138956,85.08355115814277
0,experiment,717600,200.0,-1399.4391661543568,70.45831244797932
0,experiment,720200,200.0,-1439.3158154565983,75.99989175341123
0,experiment,722800,200.0,-1433.416081906557,81.52847625266914
0,experiment,725400,200.0,-1407.091568013937,60.08598214108459
0,experiment,728000,200.0,-1474.6627072620238,77.62944944347656
0,experiment,730600,200.0,-1425.4459875080404,126.25277554088855
0,experiment,733200,200.0,-1397.3711845162875,100.34013972233322
0,experiment,735800,200.0,-1359.5348916130024,69.60453948992755
0,experiment,738400,200.0,-1344.8056104346501,95.34692918371417
0,experiment,741000,200.0,-1439.7025634556985,66.77215481048601
