,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,380600,200.0,-1031.4785762868246,206.99844424772704
0,experiment,382800,200.0,-998.2797343044675,95.1599465990982
0,experiment,385000,200.0,-1095.050090466142,163.29765548489138
0,experiment,387200,200.0,-1275.5041381340345,344.0563240035436
0,experiment,389400,200.0,-1100.5092345090618,274.311263169972
0,experiment,391600,200.0,-1152.1714301161446,328.8841713475936
0,experiment,393800,200.0,-1113.6490360132568,154.24924921712403
0,experiment,396000,200.0,-1095.018243095117,182.0321043294588
0,experiment,398200,200.0,-999.3406567889651,171.7594349189276
0,experiment,400400,200.0,-974.8590699481175,209.44050318585704
0,experiment,402600,200.0,-946.5187285567155,97.20258811589407
0,experiment,404800,200.0,-1048.5766988396467,163.9223487766554
0,experiment,407000,200.0,-1055.938643371649,261.9803409309749
0,experiment,409200,200.0,-1153.5068908154608,249.67519198079026
0,experiment,411400,200.0,-1014.3118199849338,135.23697585870585
0,experiment,413600,200.0,-1026.1090601073147,168.85007897693475
0,experiment,415800,200.0,-1050.5367363690953,131.96659910334702
0,experiment,418000,200.0,-1055.5804273323668,211.53192452895604
0,experiment,420200,200.0,-934.8665629162504,134.29239008632018
0,experiment,422400,200.0,-916.949919052874,121.22566106671738
0,experiment,424600,200.0,-1111.9249428493706,268.7783697002156
0,experiment,426800,200.0,-1008.8591439941437,154.3086382157631
0,experiment,429000,200.0,-982.7197752108539,187.36382622493593
0,experiment,431200,200.0,-1128.607849656533,184.21526191548637
0,experiment,433400,200.0,-1097.947222639608,151.30798963235796
0,experiment,435600,200.0,-1030.97018232003,114.46614290617511
0,experiment,437800,200.0,-1008.2239967815945,175.82110406689773
0,experiment,440000,200.0,-1062.1731437930885,100.32915580008495
0,experiment,442200,200.0,-1168.113945949654,244.04152904606272
0,experiment,444400,200.0,-946.6990525415665,71.53093489159392
0,experiment,446600,200.0,-991.5417877293013,112.98189686955001
0,experiment,448800,200.0,-1143.846440660894,158.02305180765063
0,experiment,451000,200.0,-982.2730279697508,154.4760638623407
0,experiment,453200,200.0,-1074.1889350335102,208.1522565929496
0,experiment,455400,200.0,-1062.971713266294,170.7768282246876
0,experiment,457600,200.0,-1084.3907503540283,182.61572748471306
0,experiment,459800,200.0,-1020.1636442791182,95.96544889871682
0,experiment,462000,200.0,-972.0398721949946,116.18352164108335
0,experiment,464200,200.0,-1020.171760753317,186.25634427376204
0,experiment,466400,200.0,-1031.4414231073733,171.05809615851012
0,experiment,468600,200.0,-953.5897457121453,59.70745746671178
0,experiment,470800,200.0,-1033.5632096740587,160.89462955509276
0,experiment,473000,200.0,-1038.4420115845178,147.54795971522537
0,experiment,475200,200.0,-1030.3565640415438,124.66259947155153
0,experiment,477400,200.0,-1100.224823903905,116.88144097038489
0,experiment,479600,200.0,-1033.516740902286,204.68015390940477
0,experiment,481800,200.0,-1030.0157874410315,153.4904216520603
0,experiment,484000,200.0,-990.3129665104069,63.76244378287848
0,experiment,486200,200.0,-1031.795949774996,131.4916939004638
0,experiment,488400,200.0,-1068.8898874543283,162.6231477940425
0,experiment,490600,200.0,-1033.1555920576232,149.19900147515472
0,experiment,492800,200.0,-1070.4961796340394,267.75364027749544
0,experiment,495000,200.0,-1019.5143781982791,175.7448639068866
0,experiment,497200,200.0,-986.6517049869217,170.7627092530657
0,experiment,499400,200.0,-1102.0196952374179,213.33709038671591
0,experiment,501600,200.0,-938.520577833032,158.4088783136755
0,experiment,503800,200.0,-1012.8102112145832,114.77488541708962
