,mean episodic length,mean episodic rewards,timestep
0,200.0,-1052.5817364517989,429000
0,200.0,-1245.4267181422895,431600
0,200.0,-1171.6378821312671,434200
0,200.0,-1140.2643661556854,436800
0,200.0,-1084.9482714702765,439400
0,200.0,-1262.7643866159908,442000
0,200.0,-996.0376997997496,444600
0,200.0,-1034.2668862829037,447200
0,200.0,-1203.0965517205377,449800
0,200.0,-1227.3405203077734,452400
0,200.0,-1167.5819122990933,455000
0,200.0,-1206.8798396567722,457600
0,200.0,-1099.6245439188478,460200
0,200.0,-1089.9672957968487,462800
0,200.0,-1167.6562917144113,465400
0,200.0,-1063.3250241161825,468000
0,200.0,-1147.4860238435379,470600
0,200.0,-1147.8398390881252,473200
0,200.0,-1100.7349294643436,475800
0,200.0,-1155.0355049194206,478400
0,200.0,-1223.016052977931,481000
0,200.0,-1059.4910576821674,483600
0,200.0,-1138.797263148438,486200
0,200.0,-1189.0616978391488,488800
0,200.0,-1103.0322734575636,491400
0,200.0,-1241.032536744589,494000
0,200.0,-997.1310168098929,496600
0,200.0,-1207.036851872278,499200
0,200.0,-994.488721445799,501800
0,200.0,-1152.5804175022527,504400
0,200.0,-1220.8451668297153,507000
0,200.0,-1160.0248834795898,509600
0,200.0,-1069.411936339927,512200
0,200.0,-1059.542046808037,514800
0,200.0,-1128.0378391761956,517400
0,200.0,-1193.551714662975,520000
0,200.0,-1186.318230085307,522600
0,200.0,-1073.1689158964136,525200
0,200.0,-1088.686020797082,527800
0,200.0,-1059.9144930729892,530400
0,200.0,-1034.34901603949,533000
0,200.0,-1076.242069531372,535600
0,200.0,-1133.831641644224,538200
0,200.0,-1040.3125334952072,540800
0,200.0,-1108.600905961909,543400
0,200.0,-1031.880102497645,546000
0,200.0,-1096.5437340174178,548600
0,200.0,-998.6209717685025,551200
0,200.0,-1140.5086632080188,553800
0,200.0,-1212.4786765983106,556400
0,200.0,-1063.1398297457831,559000
0,200.0,-1095.224841144369,561600
0,200.0,-1322.2896596062865,564200
0,200.0,-1111.7743574097651,566800
0,200.0,-1043.2295906555073,569400
0,200.0,-1131.0166967383086,572000
0,200.0,-1072.2050233647929,574600
0,200.0,-1139.3006407942225,577200
0,200.0,-1124.131226156312,579800
0,200.0,-1138.3474509342775,582400
0,200.0,-1072.4908133858864,585000
0,200.0,-1050.139816915987,587600
0,200.0,-1036.7110881685207,590200
0,200.0,-1175.2210545535208,592800
0,200.0,-998.4566038977374,595400
0,200.0,-1143.6784958167154,598000
0,200.0,-1040.7165888205877,600600
0,200.0,-1134.4874069941188,603200
0,200.0,-1182.1310958660224,605800
0,200.0,-1071.542012943883,608400
0,200.0,-1099.6464365112838,611000
0,200.0,-1107.5490776875017,613600
0,200.0,-1139.8488614559278,616200
0,200.0,-1070.5293607245608,618800
0,200.0,-1160.8967268422698,621400
0,200.0,-1254.8627153158186,624000
0,200.0,-1135.8562680324776,626600
0,200.0,-1036.3219370668567,629200
0,200.0,-1102.7241946322097,631800
0,200.0,-974.9857037341735,634400
0,200.0,-1055.894340887461,637000
0,200.0,-1143.0155652141582,639600
