,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
15,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",237568,0.000489,1.0,2048,-0.887449,-0.887693,-0.887204,6.8e-05
16,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",239616,0.00051,1.0,2048,-0.887435,-0.887685,-0.887205,6.9e-05
17,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",241664,0.000552,1.0,2048,-0.88742,-0.887668,-0.88715,6.8e-05
18,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",243712,0.000534,1.0,2048,-0.887405,-0.887603,-0.887179,6.8e-05
19,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",245760,0.000463,1.0,2048,-0.887391,-0.887614,-0.887148,6.9e-05
20,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",247808,0.000451,1.0,2048,-0.887378,-0.887607,-0.887128,6.9e-05
21,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",249856,0.000511,1.0,2048,-0.887364,-0.887578,-0.887114,6.9e-05
22,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",251904,0.000539,1.0,2048,-0.887352,-0.887578,-0.887118,6.9e-05
23,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",253952,0.000512,1.0,2048,-0.887337,-0.887548,-0.8871,7e-05
24,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",256000,0.000448,1.0,2048,-0.887324,-0.887572,-0.887099,7.1e-05
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",258048,0.000476,1.0,2048,-0.887312,-0.887552,-0.887068,6.8e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",260096,0.000488,1.0,2048,-0.887299,-0.887516,-0.887074,7.1e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",262144,0.000489,1.0,2048,-0.887287,-0.887546,-0.887048,6.8e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",264192,0.000496,1.0,2048,-0.887274,-0.887547,-0.887014,7.3e-05
4,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",266240,0.000467,1.0,2048,-0.887262,-0.887512,-0.887003,7e-05
5,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",268288,0.000479,1.0,2048,-0.887248,-0.887511,-0.886999,7.1e-05
6,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",270336,0.000486,1.0,2048,-0.887239,-0.887485,-0.887,7.1e-05
7,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",272384,0.000459,1.0,2048,-0.887225,-0.887448,-0.887001,6.9e-05
8,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",274432,0.000456,1.0,2048,-0.887212,-0.887421,-0.886989,7e-05
9,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",276480,0.000453,1.0,2048,-0.887198,-0.88741,-0.886962,7.2e-05
10,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",278528,0.000548,1.0,2048,-0.887183,-0.887443,-0.886932,7e-05
11,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",280576,0.000521,1.0,2048,-0.887175,-0.887411,-0.886883,7.1e-05
12,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",282624,0.000535,1.0,2048,-0.88716,-0.887463,-0.886902,7e-05
13,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",284672,0.000549,1.0,2048,-0.887149,-0.887406,-0.886924,7.3e-05
14,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",286720,0.000532,1.0,2048,-0.887138,-0.887403,-0.88691,7.1e-05
15,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",288768,0.000517,1.0,2048,-0.887125,-0.887413,-0.886907,7.1e-05
16,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",290816,0.000533,1.0,2048,-0.88711,-0.887328,-0.886861,7.3e-05
17,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",292864,0.000467,1.0,2048,-0.887098,-0.887383,-0.886855,7.4e-05
18,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",294912,0.000496,1.0,2048,-0.887085,-0.887377,-0.886737,7.1e-05
19,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",296960,0.000556,1.0,2048,-0.887075,-0.887324,-0.886791,7.2e-05
20,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",299008,0.000512,1.0,2048,-0.887061,-0.887298,-0.886808,7.1e-05
21,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",301056,0.000491,1.0,2048,-0.887051,-0.887313,-0.886825,7.3e-05
22,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",303104,0.000475,1.0,2048,-0.887038,-0.887266,-0.886791,7.3e-05
23,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",305152,0.000458,1.0,2048,-0.887028,-0.887288,-0.886769,7.5e-05
24,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",307200,0.000578,1.0,2048,-0.887016,-0.887265,-0.886775,7.3e-05
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",309248,0.000475,1.0,2048,-0.887003,-0.887225,-0.886758,7.3e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",311296,0.000542,1.0,2048,-0.886992,-0.887238,-0.886737,7.3e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",313344,0.000519,1.0,2048,-0.886976,-0.887208,-0.886741,7.2e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",315392,0.00054,1.0,2048,-0.886966,-0.887212,-0.886706,7.3e-05
4,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",317440,0.000463,1.0,2048,-0.886949,-0.887187,-0.88671,7.3e-05
5,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",319488,0.00046,1.0,2048,-0.886938,-0.887159,-0.886679,7.2e-05
6,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",321536,0.000558,1.0,2048,-0.886928,-0.887205,-0.886689,7.4e-05
7,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",323584,0.000573,1.0,2048,-0.886914,-0.887146,-0.886655,7.4e-05
8,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",325632,0.000586,1.0,2048,-0.886902,-0.887172,-0.886646,7.4e-05
9,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",327680,0.000595,1.0,2048,-0.886889,-0.887163,-0.886578,7.4e-05
10,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",329728,0.000593,1.0,2048,-0.886879,-0.887141,-0.886634,7.5e-05
11,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",331776,0.000556,1.0,2048,-0.886866,-0.887106,-0.886603,7.7e-05
12,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",333824,0.000594,1.0,2048,-0.886855,-0.887139,-0.886626,7.4e-05
13,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",335872,0.000602,1.0,2048,-0.886842,-0.887095,-0.886569,7.5e-05
14,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",337920,0.000631,1.0,2048,-0.886829,-0.887042,-0.886581,7.5e-05
15,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",339968,0.000563,1.0,2048,-0.886817,-0.88707,-0.88658,7.5e-05
16,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",342016,0.000571,1.0,2048,-0.886801,-0.88709,-0.886568,7.6e-05
17,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",344064,0.000582,1.0,2048,-0.886791,-0.887087,-0.886499,7.6e-05
18,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",346112,0.000577,1.0,2048,-0.88678,-0.887023,-0.886467,7.7e-05
19,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",348160,0.000537,1.0,2048,-0.88677,-0.887023,-0.886541,7.4e-05
20,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",350208,0.000579,1.0,2048,-0.886756,-0.887003,-0.886472,7.6e-05
21,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",352256,0.000525,1.0,2048,-0.886747,-0.887017,-0.886431,7.6e-05
22,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",354304,0.000564,1.0,2048,-0.886728,-0.886999,-0.886414,7.7e-05
23,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",356352,0.000555,1.0,2048,-0.886721,-0.887009,-0.886449,7.6e-05
24,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",358400,0.000563,1.0,2048,-0.886705,-0.886942,-0.886442,7.6e-05
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",360448,0.000574,1.0,2048,-0.886695,-0.88701,-0.886407,7.4e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",362496,0.000568,1.0,2048,-0.88668,-0.886897,-0.886407,7.4e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",364544,0.000562,1.0,2048,-0.886669,-0.886923,-0.886432,7.5e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",366592,0.000582,1.0,2048,-0.88666,-0.88696,-0.886418,7.7e-05
4,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",368640,0.000576,1.0,2048,-0.886644,-0.886929,-0.886379,7.6e-05
5,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",370688,0.000532,1.0,2048,-0.886632,-0.88693,-0.886341,7.9e-05
6,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",372736,0.000544,1.0,2048,-0.886622,-0.88689,-0.886337,7.8e-05
7,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",374784,0.000568,1.0,2048,-0.886606,-0.88688,-0.886319,7.8e-05
8,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",376832,0.000564,1.0,2048,-0.886594,-0.886855,-0.886336,7.8e-05
9,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",378880,0.000563,1.0,2048,-0.886581,-0.886851,-0.886326,8e-05
10,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",380928,0.00057,1.0,2048,-0.886573,-0.886812,-0.88631,7.7e-05
11,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",382976,0.000539,1.0,2048,-0.886556,-0.886804,-0.886277,7.9e-05
12,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",385024,0.00058,1.0,2048,-0.886546,-0.886831,-0.886298,7.8e-05
13,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",387072,0.000597,1.0,2048,-0.886533,-0.886783,-0.88628,7.8e-05
14,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",389120,0.000539,1.0,2048,-0.886522,-0.88679,-0.886237,7.7e-05
15,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",391168,0.000621,1.0,2048,-0.886507,-0.886757,-0.886246,8e-05
16,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",393216,0.00057,1.0,2048,-0.886501,-0.886743,-0.886261,7.9e-05
17,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",395264,0.000593,1.0,2048,-0.886485,-0.886759,-0.88621,8.1e-05
18,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",397312,0.000568,1.0,2048,-0.886473,-0.886732,-0.886228,8e-05
19,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",399360,0.000531,1.0,2048,-0.886465,-0.886758,-0.886211,8e-05
20,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",401408,0.000556,1.0,2048,-0.886452,-0.886736,-0.886175,7.9e-05
21,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",403456,0.000555,1.0,2048,-0.886439,-0.886719,-0.886177,8.2e-05
22,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",405504,0.000548,1.0,2048,-0.886428,-0.886712,-0.886136,8.1e-05
23,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",407552,0.000551,1.0,2048,-0.886417,-0.886671,-0.886201,7.9e-05
24,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",409600,0.000564,1.0,2048,-0.886403,-0.88667,-0.8861,8e-05
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",411648,0.000548,1.0,2048,-0.886392,-0.886636,-0.886074,8e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",413696,0.000463,1.0,2048,-0.886378,-0.886636,-0.886094,8.1e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",415744,0.000487,1.0,2048,-0.886367,-0.886622,-0.886106,8e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",417792,0.000515,1.0,2048,-0.886357,-0.88664,-0.886109,7.8e-05
4,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",419840,0.000503,1.0,2048,-0.886342,-0.8866,-0.886044,7.9e-05
5,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",421888,0.0005,1.0,2048,-0.88633,-0.886602,-0.886066,8e-05
6,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",423936,0.000451,1.0,2048,-0.886321,-0.886576,-0.886059,7.9e-05
7,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",425984,0.000465,1.0,2048,-0.886307,-0.886571,-0.886038,8e-05
8,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",428032,0.000494,1.0,2048,-0.886293,-0.886547,-0.886,8.1e-05
9,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",430080,0.000433,1.0,2048,-0.88628,-0.886557,-0.886009,8.2e-05
10,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",432128,0.000426,1.0,2048,-0.886269,-0.886524,-0.88592,8.1e-05
11,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",434176,0.000498,1.0,2048,-0.886257,-0.886525,-0.885993,8.1e-05
12,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",436224,0.000489,1.0,2048,-0.886245,-0.886529,-0.885989,7.9e-05
13,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",438272,0.000468,1.0,2048,-0.886229,-0.886514,-0.88591,8.2e-05
14,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",440320,0.000481,1.0,2048,-0.886219,-0.886482,-0.885916,8.1e-05
15,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",442368,0.000468,1.0,2048,-0.886207,-0.886483,-0.885927,8.1e-05
